project_id,project_name,score_value,confidence,explanation,tokens_used,model_name,status
2,GT LIFE SPACES,0,0,Scoring unavailable: ai_unavailable,0,unknown,SUCCESS
1,OVERSEAS pALM RESORTS,0,0,Scoring unavailable: ai_unavailable,0,unknown,SUCCESS
